id,dialogue,options
378,A:什麼事跑得怎麼急	B:沒事啦 我只是想說回家幫媽媽煮飯	A:你媽媽怎麼了 身體不舒服嗎,B:她很好 只是我覺得 一直以來都是媽媽做飯給我吃 偶爾該換我做飯給她了	B:你水桶是要換新的水 還是洗一洗就好了	B:你的動作怎麼變得這麼快	B:其實芳儀不是那麼的嬌弱 以後我不能再把她當溫室的花朵了	B:因為不太放心 芳儀在學校跟同學相處的情形	B:一個人的個性 到了一定的年紀 就很難有大的改變
379,A:這一次你不但是誤會了奕瑄 還對他造成很大的傷害喔	B:老師 對不起啦 我只是開個玩笑而已 不知道他會這麼在意 我會好好向他道歉的,A:我代替我媽向你道歉	A:應該是我跟你道歉才對	A:但是你們要道歉的對象不是我喔	A:你該道歉的人不是我	A:我只是想確保你不會受到傷害	A:除了向道歉之外 老師還希望你可以幫一個忙
380,A:可是大部分的聽障朋友 都沒有拿攝影機的經驗	B:那怎麼辦啊,A:他的肩膀上會戴上三顆星	A:他原本是個威武雄壯的軍人	A:他就是我們今天的主角陳志朋先生	A:今天要介紹的是祁六新先生	A:其實在政府和一些有心人士的協助之下呢 已經有專門為聽障朋友開設的影像訓練班	A:十八年來的傷殘折磨
381,A:所以其實我們市面上買到的活蝦 牠不一定比冷凍蝦好是不是,B:這本筆記是專門為舒琪整理的	B:那現在我帶你出去走一走	B:我大概一頁可以花35秒鐘看完	B:當然囉 其實冷凍蝦還比較好	B:時間已經過了二十五秒鐘了	B:所以現在給你們五秒鐘時間
382,A:你小時候也比較怕你爸,B:我們都很怕好不好	B:不放心爸爸一個人生活	B:開始緊張了起來	B:很想要瞭解兩性關係	B:這個家難得這麼熱鬧	B:因為我今天這一切都是為家人
383,A:這個茶好好喝哦	B:好喝嗎	A:這是什麼茶,B:這個是用桑葉做的	B:這個是要四個人平均的力量	B:把它整件攤開	B:攤開來以後我們就直接地拉	B:要這樣捧鬆	B:這個蠶絲被摸起來真的是又鬆又軟耶
384,A:比方說我們把它換成一張紙 那它的效果跟氣球是一樣的	B:紙可是紙怎麼會飛啊,C:剛剛那邊好多風箏喔	C:這一次就由我親自出馬	C:對啊這應該不大可能吧	C:圖案嘛對不對因為我們要畫圖案的關係	C:吸血鬼不要吸我的血	C:用這個竹蓆怎麼做
385,A:你們兩個站那麼久要幹嘛	B:我們不敢打打到會痛啊,A:讓我們來看看三重高中的同學們	A:來吸引更多的遊客	A:一下連看都不看對方	A:痛也沒關係本來要練劍道就會痛啊	A:所以有關於海鮮的流言	A:填出來的新生的地區
386,A:這樣瞭解了吧	B:輝哥 你不要一直吃好不好	B:專心聽我,B:你有沒有聽我講話	B:你什麼時候吃到小顆的	B:還在裝蒜	B:我昨天不是有帶一鍋湯來有沒有	B:那個湯裡面除了好吃的雞腿	B:我吃的都是小顆的
387,A:乖孫喔 來跟你阿公講一下	B:要講什麼,A:你幫我切這塊	A:你地價稅還沒繳	A:阿嬤就是怕你把我帶迷路啦	A:你要保佑她婚姻幸福	A:那我們來看一下練習題的部分	A:我講什麼 你就講什麼
388,A:文化本身不等於流氓 你不能把它劃上等號 那你這個要公平的對待這事,A:你已經把它忘記了嗎	A:比方說像它的對白	A:觀眾是要跟他們培養感情的	A:就是講出這句台詞的演員	A:你要給陣頭文化一個機會	A:自己演得到底好不好
389,A:我真的不懂 她到底什麼意思 她到底喜不喜歡我	B:她說她跟你在一起很開心 那就表示她喜歡你了啊,A:我好喜歡	A:可是我比較喜歡仔仔耶	A:那她為什麼不接受我的告白	A:可是班上的同學都不喜歡我	A:只要我喜歡啊	A:你為什麼那麼喜歡跟LuLu互傳簡訊了
390,A:會覺得很孤單嗎	B:現在不會	A:當初,B:快氣死了	B:你要自己看喔	B:成功了	B:當初會啊	B:就先填飽肚子吧	B:快一點啦
391,A:兩位老師真是不好意思 這孩子真不懂禮貌	B:蕭先生 成浩他怎麼了 看起來好像不是太開心耶,A:最主要是貨物的到達跟發送	A:還有易開罐的啤酒	A:你告訴他道理勸他	A:每一種的書我都非常喜歡	A:原本他計畫到台中找他叔叔去玩 但我不准讓他去所以他跟我生氣啦	A:那我只好來配合你
392,A:曉書 你盯著腳幹什麼啊	B:濂僑 你有沒有想過,B:能夠跟得上瞬息萬變的社會潮流才是	B:但是對於鑽法律漏洞	B:或者是不按規定的不肖份子	B:一雙腳可以做哪些事情呢	B:如果能有適當的罰則來對付	B:例如說是罰款
393,A:你知道我為什麼找你出來嗎	B:我不知道	A:我只是想找個人陪我,A:好險啊	A:才不到一個禮拜的時間	A:這幾天跌得可慘	A:試過沒有	A:你這個炸彈能用嗎	A:其實我早就知道我老公在外面一直有個女人
394,A:睡在街頭也是常有的事 不過相較於沒精神的立宇 被音樂吸引來的路人,A:小孩子的興趣跟他的專長	A:卻個個看來都還不想睡的樣子	A:我小費箱上面有而已	A:天冷季節的室內場地	A:薇仙還特別請了妹妹和媽媽	A:為什麼要到很遠的地方
395,A:我剛剛看到梁碧珊她爸爸媽媽 在訓導處門口吵架耶	B:那有什麼稀奇 女兒不見了難免情緒不佳嘛	A:可是我聽見她媽媽說 都是因為她爸爸要離婚 所以碧珊才會變成這樣的,B:是離婚嗎 還是不離婚跟他糾纏一輩子呢	B:真的哦 原來她性情大變 是因為家變啊	B:如果換作是我 我的反應搞不好還比她更勁爆 簡直無法想像耶	B:早就勸過她不要隨便找劉老師的麻煩 誰不知道劉老師最嚴格了	B:碧珊今天沒有來是不是有什麼事	B:她現在在我家
396,A:可不可以麻煩你進去幫我問問看 看看我男朋友在不在好不好,B:我等一下再回來這邊	B:拜託你啦拜託啦	B:你現在要去哪裡	B:你就隨便帶我繞一繞啊	B:你剛剛你男朋友我也不認識	B:我又不認識他你叫我去問
397,A:林大哥 這是做什麼用的啊	B:我們這個是在控制 這三十八條路線是要讓火車進來出去還是轉彎,A:目的都是要讓魚貨	A:可以示範看看嗎	A:你知道高雄的舊名叫打狗嗎	A:還跟酒廠的朋友們喝酒划酒拳	A:當初我只是想要幫舒琪	A:去讀職校也都是你的事
398,A:二○一一年三月十一日 日本發生了 芮氏規模九點零的地震,A:然後你就把這個插銷拉出來	A:並且引發驚人的海嘯	A:那第二個拉是	A:大部分的滅火器	A:是會有一根軟管的	A:它只要比這個大就會有軟管
399,A:你是鄭叔叔嗎	B:對啊	A:你好 我是小中 叔叔 我想要體驗水上人家的生活,A:這個魚會沿著山壁走	A:第一點就是因為	A:可以帶我去體驗一下嗎	A:我們把網放在這邊	A:那個魚經過的時候	A:我就可以把牠抓起來了
400,A:你們這些業務真現實 現在不過是一個凶宅 就要我求你們啊	B:聽說那間房子出過很多事情 熟門熟路都知道 大家有所顧忌	C:賀總 可以讓我試試看嗎,A:這座橋不是由這塊或是那塊石頭支撐的	A:在國道其他路段也有最低速限規定	A:在國道其他路段也有最低速限規定	A:德黑蘭的交通已經不是恐怖可以形容	A:當我和阿伯下定決心環遊世界 心裡總有微微的恐慌	A:希望你不會讓我失望
401,A:那你在編什麼	B:頭帶,A:食用過多深海魚會有重金屬污染的疑慮	A:海帶有很多的碘	A:做這決定還真不是件容易的事	A:可能是因為太操勞 所以意外病倒了	A:這件事若屬實 茲事體大	A:就是要綁在頭上的那種嗎
402,A:平常有沒有什麼秘訣保養喉嚨,B:買菜這種簡單而平凡的活動 對高家人來說 卻是一種幸福時光	B:我給你建議就是 你要嘛就當教練 不然你就當歌手 你不要兩個同時	B:一點都不好笑	B:答案就要揭曉了	B:一般的盆栽 當然要澆得比較頻繁一點	B:為什麼豆油伯也笑得這麼開心啊
403,A:奕瑄 你還好吧	B:老師 我真的沒有A大家的錢 你不要聽芷穎亂講 你要相信我,A:原來這就是相信的感覺	A:你要相信自己的才能啊	A:好好好 你先不要這麼激動 老師相信你	A:我相信你們老師	A:雖然老師相信你沒有抽煙 可是你上頂樓就是不對阿	A:你這樣子很難讓我相信你有氣質
404,A:不過老師現在沒有男朋友 所以我想請你幫我設計一條貝殼做的項鍊好不好	B:沒問題 我明天就可以拿給你,A:老師這是我們向妍如買的貝殼飾品 是她自己設計的	A:我可以只算你七折	A:好漂亮 好精緻	A:就這麼說定了	A:我剛剛好像聽到高利貸 什麼高利貸啊	A:你真的是高利貸
405,A:所以今天下午 我應該是沒有辦法變成黑帶了,B:你要自己懂得保護自己 但是不可以隨便去主動攻擊人家	B:第一次踢板的時候 那個時候踢得非常的爛	B:是不可能	B:那你一開始踢不破的時候 有沒有覺得自己怎麼那麼笨	B:為什麼每個人都講是可以跟人家對打呢	B:那你有沒有出去比賽過
406,A:如果你們這樣要出國表演的話 打包起來大概有多少行李啊	B:我們上次出國的話 我們大概有七件大行李,A:這布幕全部都要變成黑的 然後背景也全部都要黑的 這樣才能夠專心	A:其實我的行李早就在房間了	A:為什麼會有行李	A:七件就可以出國去表演喔 那你們算是一個 很迅速可以移動的部隊耶	A:行李裡面有毒品	A:陳大哥會事先準備很多的行李箱 然後把水果放在其中一個行李箱裡面
407,A:在孩子學習的階段 我們要怎麼去關心孩子 幫助孩子學習課業呢,B:今天非常謝謝鍾法官和李劍南老師 給我們這麼多難得的一些經驗	B:父母會不會擔心 沒有辦法跟她溝通啊	B:這個就是沙燕風箏的縮小版	B:我覺得讓孩子自動自發的學習是很重要的	B:我的夢想就是我要念昆蟲系	B:我們現在站的地方 就是我們的本山五坑了
408,A:這個實驗實在是太聰明了啦	B:不是你想的方法 你也能這麼開心喔,A:你們誰先來啊	A:我當然開心啦	A:你千萬不要小看它	A:這你相信嗎	A:應該是假的囉	A:大概也沒辦法
409,A:你擅長的年菜是哪一道呢,B:全家人團聚在一塊兒	B:我最拿手的是這一道丁香豬手招福壽	B:學員們個個滿心歡喜	B:我兩個兒子都好愛吃	B:我們還會再繼續的加強	B:希望找到可以發揮自己的專長
410,A:都是你啦 出什麼餿主意嘛	B:這怎麼能怪我 是你自己叫我幫你想辦法的,A:就當大家投資你買書的錢 也不為過啊	A:對啦對啦 反正衰的又不是你	A:你說誰是唐氏姊妹	A:他的打卡的卡片不見了	A:在這邊打瞌睡啊	A:我婆婆又對我很好
411,A:我是有聽說成浩蠻有這方面的才華的,B:因為我喜歡去知道各種不同的知識	B:可是如果這樣的話	B:對啊 學校音樂課羅老師如果有需要幫忙的話都會找成浩	B:一下連看都不看對方	B:台灣就自行研發了一種愛蘭白酒	B:我來到了綠島唯一的一所國中
412,A:應該是那個顏色很怪 所以才叫怪水對不對	A:還是說其實是那個水裡面 有什麼水怪,B:我姓蕭 蕭先生	B:什麼怪水 以前一直說這是毒龍潭	B:先別急 這個情況是這樣子 我也不知道	B:如果可以把我們這個 下課花路米的隊徽加上去的話 我覺得這樣會更好一點	B:誰叫你是瘋狂百米小兵啊	B:如果我們把材料換一下呢
413,A:爸爸媽媽離婚之後,A:你什麼都要學	A:給她鼓勵說你好棒喔	A:我跟爸爸一起住	A:要跟我澄清	A:現在我們聽聽她的說法吧	A:你一個女孩子
414,A:你越是不甩他 不理他,A:別那麼雞婆啦	A:你知道我意思嗎	A:你交了別的女朋友	A:在講多對基因遺傳	A:休息一下	A:他越是有可能回來找你的啦
415,A:這話怎麼說呢,B:因為早在十八世紀的時候 扯鈴曾經被傳到歐洲去了 並且造成流行	B:想不想再看明偉 出神入化的扯鈴絕技啊	B:現在會玩扯鈴的人 好像已經不多了	B:你作業寫不完 一定很著急吧	B:你看這個業的字首和字型 就是作業	B:接下來我們不先急著教手語
416,A:明天考英文你看國文做什麼,B:何況加進尿液的海水	B:裝了些什麼祕密呢	B:媽在旁邊指導你可不可以	B:同學們準備好作答了沒有	B:去讀職校也都是你的事	B:我在溫習我等一下就看英文了
417,A:因為我們都知道馮凱導演 其實在電視圈非常有名 拍了很多全台灣人都等著,A:我太太非常支持我	A:其實有三種不同類型的演員	A:去判斷你的每一個鏡頭	A:每天等著看的電視劇	A:陣頭的孩子會打架	A:這一萬五看完了
418,A:老闆說搶不到死人了啦	B:夭壽喔 吃太快會弄破碗啦 慢慢來就好了,A:吃了有沒有合胃口	A:剛剛快被那輛車嚇死了	A:乾杯乾杯	A:快點喔 你們這團每次都最慢啦	A:你這裡的東西不錯耶	A:你會覺得我們很怪嗎
419,A:江議員 您好 今天很高興在這裡跟您碰面,B:這個問題我沒有想過耶	B:我也很高興來參加活動	B:教學影片做的淺顯易懂	B:主要是這件事情要能成 要有各方的配合	B:請大家一起來分享	B:民主不是一個終點 是一個持續的過程
420,A:在超級市場或魚市場買蝦或是買魚 光看顏色不一定可以證明牠們的新鮮度,A:還要用鼻子聞聞看 如果你有聞到藥水味或是臭臭的刺鼻味就要小心了	A:我等一下要和千晏一起去圖書館看書	A:其實這裡大家很多不曉得	A:所以牠們和我的感情都很好	A:來吸引更多的遊客	A:有好朋友可以分享彼此的心事
421,A:不然我們來比賽啊	B:好啊 比什麼	A:我們來找土星的資料 看誰找到比較多 然後比較有趣啊,B:有這個腳踏車很好玩耶	B:好啊 要比就比啊 這次一定讓你認輸	B:港和國小我上次有來過	B:我今天會照顧你哦	B:我們先來參觀我們學校的天文館	B:那像這個太陽系裡面這麼多星星
422,A:媽媽的錯 要是有什麼事情 我幫你出面解決嘛	B:你還要管我嗎 你已經幫倒忙了,A:芳儀也十五歲了 算是半個大人了	A:你不要這麼說嘛 媽媽又不是一個沒有腦袋的人	A:我不管 為什麼要我倒楣	A:她做事慢吞吞的 跟她一組會受影響啦	A:這一次我就幫您轉交 可是以後不要再破費囉	A:這飲料真好喝 網路上有名的
423,A:而且現在整個大環境 經濟不景氣,A:我知道是我該做的	A:我爸爸早上要就八點多起來	A:你要什麼口味	A:每個人都要想辦法賺錢餬口	A:然後就要來弄攤子	A:那變成你很晚睡覺
424,A:Zoy一方面抱著貪玩的心情打蠟	A:另一方面希望多賺點錢,A:半夜三更不睡覺	A:有什麼好洗的啊	A:要記得收看我和曉書主持的「聽聽看」	A:可以請陳喬恩吃糖果	A:用心聽聲音	A:這樣反而對身體不好喔
425,A:現在全班就只剩下你一個人沒有交 你這樣 我很難做事耶	B:我又不是故意的 就真的忘了帶嘛	A:我不管啦 你要趕快想辦法,B:全班所有同學都願意為你加油打氣	B:全班最高分呢	B:全班就會乖乖聽我的	B:可是 我現在身上真的沒有錢啊	B:我們不是故意的	B:你愛美害到我們全班
426,A:老師 這是我自己做的餅乾 請你嚐嚐看	B:謝謝 這餅乾好精緻 看到外表就覺得很好吃 你一定花了很多心思	A:是媽媽厲害 我只是照她方法做而已,B:跟你一起去讀職校好了	B:哈瑪星成為南台灣	B:好好吃 如果不跟老師說 老師一定覺得這是在外面買的	B:這裏是手工紙廠嗎	B:是啦全部都是我自己雞婆	B:梁老師這裡交給你囉
427,A:葉大叔 想要請問你 在這行李箱裡面 你都裝了些什麼東西啊,B:接著下一站到高雄 再待個幾天 輕鬆的到處逛一逛	B:他喜歡像我們台東這種地區 海岸線很寬敞 海闊天空	B:如果車子有問題 我就牽到路邊修理	B:她小時候就是一個 很開朗的小孩子啦	B:裡面有帳棚 書和隨時要看的地圖	B:晚上的時候在抓螢火蟲
428,A:以前你們都吃什麼,B:尤其這家魚攤 是每趟必來光顧的	B:他自己本性啦	B:吃番薯啊 吃飯啊 番薯和米一起煮啊	B:雨越來越大	B:好好喔真的好棒	B:電腦遊戲算什麼運動啊
429,A:我以為兒子回來了 他還沒回來啊	B:還沒呢	A:去哪裡呀,B:可是你們知道	B:我現在有多麼想要一支手機了吧	B:我怎麼曉得他去哪裡	B:晚上不准你吃飯	B:到房裡去反省	B:不吃晚飯也沒有問題
430,A:你們洗澡的地方 上面怎麼會有個洞,B:現在是上課時間	B:不一定在格子裡面上課	B:你不要取笑他	B:我真的覺得西寶國小好特別	B:因為晚上洗澡的時候 可以看到很多星星	B:全校都知道你們在講什麼
431,A:你要不要上去拜拜一下	B:要上去拜拜喔	A:上去拜拜一下,B:就說要做什麼事	B:拜拜最重要	B:人一定要靠自己	B:我說這不是錢的問題	B:我們比較堅持	B:好 那我先上去拜拜
432,A:你們有沒有覺得老師故意偏袒珮綺啊	B:可是老師說的也有道理啊	B:事情又還沒有查清楚,A:沒有經過她同意	A:事情我會查清楚的	A:他們會更討厭我	A:不是那麼容易的事	A:那個人也承認了	A:你們會不會很傷心
433,A:你知道我們聽障朋友 有哪些方法可以表達自己的意見嗎,B:在民國七十二年一月二十一日	B:改變了您的一生	B:我知道 有用手語啦 用寫的啦 還有看唇語啦 大概就是這些吧	B:但是我居然拿到第三名	B:居然叫我上台領獎	B:每一學期做我應該做的事情
434,A:我想到一個好辦法 但是得要同學配合才行喔	B:我相信同學願意的,A:你身體不舒服嗎	A:想什麼那麼入迷啊	A:應該多開導開導她喔	A:在他們面前我根本就說不出來	A:走 我們先和梁老師商量	A:我又不可能每天陪著你
435,A:你早餐做些什麼菜,B:做餛飩湯跟饅頭這樣子	B:我怎麼不知道	B:我也有獎狀喔	B:給他們老年人聽	B:他沒看見	B:哪有那麼簡單
436,A:你有沒有想過 以後你兒子長大了 要讓他去學一些什麼才藝,B:這音樂真美妙	B:有沒有 我想想看	B:我討厭這個演唱會	B:這真的是太神奇了	B:你怎麼不問問神奇海螺呢 原來是你兒子做的	B:再問問看好了
437,A:美術館裡面有好多好大的東西 真好玩,A:原來你是我們那年的領隊	A:我的身體狀況如何	A:您的私訊可能會掉訊	A: 剪下插枝在旁邊 約大叢時應該會變很美	A:颱風接踵而來 烏來地區被摧殘肆虐地道路支離破碎	A:只要一進去裡面 我就不想出來了
438,A:梁碧珊今天缺席嗎 有沒有託同學請假呀	B:她昨天從訓導處回來以後 就跟她爸爸媽媽回家了啦	A:好吧那我們繼續上課,A:好現在跟著老師呢 把這一課的課文念一遍	A:碧珊今天沒有來是不是有什麼事	A:真的哦 原來她性情大變 是因為家變啊	A:你爸爸他沒良心 他在外面有了女朋友	A:早就勸過她不要隨便找劉老師的麻煩 誰不知道劉老師最嚴格了	A:碧珊今天沒有來是不是有什麼事
439,A:談戀愛的時候	A:只有幾個好朋友知道	A:可是一分手,A:恢復正常的生活	A:感冒好了嗎	A:應該要有神清氣爽	A:全世界的人都知道了	A:可是國強他就是說我太認真	A:終結流言吧
440,A:你覺得我那樣做 真的能感動詠真嗎,B:老師真的很感動	B:我實在是太感動了	B:因為我用功感動天	B:當然會啊 如果你對我這麼好的話 我也會感動得痛哭流涕的	B:豆油伯要是看到這一鍋一定會很感動的	B:怎麼樣 很感動吧
441,A:可不可以先向觀眾朋友們問聲好,B:請問您這個外號是怎麼來的啊	B:反正就看在你自己	B:我都不知道	B:主持人好 各位觀眾大家好	B:談到這個原因	B:另外一個原因
442,A:如果要送朋友的話 哪一種最能表達自己的誠意,B:這首歌我會唱 我唱給你們聽好不好	B:你是不是把我當作祕書啊	B:你要送給誰啊	B:不要來這一套 我是看你可憐	B:只有別人幫她 很少她會幫別人	B:事情過了就算了嘛 晚上我們還要去吃火鍋
443,A:不過人的電阻太大	A:如果電壓夠大的話,A:電流就可以通過人體了	A:因為太過鮮豔會被蜂群叮上	A:這個是我的秘密	A:踏實的一步一步往前走	A:你不要取笑人家了啦	A:確實有人可以這樣子
444,A:老師 你其實不用那麼辛苦嘛 你寫的課本上都有啊,B:我認為你們大家動手抄一遍 會記得更清楚	B:我知道課本上有 可是不能因為課本上有 我就不教呀	B:我希望同學對歷史課態度 能有所改變	B:學歷史只是為了應付考試	B:你趕快把黑板上 老師寫的抄下來	B:所以希望大家抄起來
445,A:陳康的苗條身材變胖之後 不知道是什麼樣的情形	A:你有沒有特別把以前的照片 帶來跟觀眾朋友們分享,B:這都可以放下三個我了耶	B:有啊 我帶了照片給大家傳閱一下好不好	B:實在很辛苦	B:我們一定要節制控制飲食 挨餓才會瘦一點啊	B:我們要如何控制飲食才不會變胖	B:這就是大家要特別注意的地方
446,A:你可以跟你朋友講說 如果賣不出去的話 也可以出租,B:這是今天的節目表	B:這個東西太貴了	B:搜尋這個網址就可以找到相關訊息	B:租人太麻煩了 我這個朋友他就是怕麻煩	B:這些垃圾是要拿去回收的	B:朋友就是要互相幫忙
447,A:你決定要選誰了沒有 快點做決定	B:是喔 很多人投了嗎 那現在誰最多票	A: 拜託 想也知道 一定是溫柔又漂亮的祐禎,B:把希望擺在未來 展現自我	B:年輕的執著就是夢想	B:總統今天到台南勘查	B:真巧 我也是投她	B:日本女高中生似乎覺得這樣子很可愛	B:台灣少子化現象逐年加劇
448,A:還有誰還沒有投票的	B:投什麼票	A:不關女生的事,B:願意主動把辛苦積蓄的資金 極大多數拿出來做社會急需的公益	B:植樹不是為了自己 而是為了後代子孫	B:什麼不干女生的事 拿來 我看	B:性別平等教育季刊 藉由閱讀的推廣與宣導 型塑多元文化中性別平等圖像	B:家中如果同時養貓和養魚該怎麼讓牠們和平共處 相安無事呢	B:更加誠實地面對內心的渴望 才能全心享受當下
449,A:因為我們兩個從小就認識到現在 然後我們一起在水溝尿過無數次的尿,A:每一次尿尿的時候魚群都會靠過來	A:強健國民的體魄而蓋的道館	A:然後呢再經過手工抄紙	A:我們大口吃下肚的海鮮	A:填海造地除了讓高雄港	A:一定也會有一個人覺得不開心
450,A:就你可以看啊 這些都是啊 所以你也很漂亮是不是,B:我媽媽心很漂亮 就很好的家庭主婦吧	B:爸爸就是很活潑	B:沒有 我可沒這麼說	B:他就會揹我們上下樓梯	B:那媽媽漂亮嗎	B:所以還蠻感恩的
451,A:看不出來我在練功喔,B:搞不好真的有這種泉水	B:我從小就在這裡長大的	B:你還說到嘴角全部都是口水	B:我們下課花路米探索的精神	B:練功練什麼功啊	B:你怎麼這樣子啊 小氣
452,A:為什麼不走岸邊,B:這一些林林總總加起來大概花了五千元左右	B:希望大家在今天的土雞選美比賽都能奪得好成績	B:所以我們就遠遠的觀察牠們就好了 也不要去打擾牠們	B:我們是希望遊客可以自動自發不要去抓裡面的螃蟹	B:保守估計可能超過兩百隻	B:岸邊的那個距離更長 抄近路就對了
453,A:一樣耶 有默契喔	B:誰跟你有默契 我跟舒琪借的	A:太巧了 我是跟千晏借的,B:這種知性之旅的酒文化	B:我們大口吃下肚的海鮮	B:就是加進不用半毛成本的尿液	B:它要從那個地方出去	B:看起來好像不是太開心耶	B:這樣算起來我們還是很有默契
454,A:老師 這是我阿嬤做的飛魚乾要給老師吃的	B:飛魚 綠島也有飛魚 我還以為蘭嶼才有耶,A:是這個地區很具代表性的西子灣	A:流汗流光了沒有	A:而且福馬林聽說有一種很奇怪的味道	A:真的能夠維持魚貨的鮮豔顏色嗎	A:更特殊的是我們的票櫃	A:綠島也有飛魚 而且成浩他阿嬤做的飛魚乾非常好吃耶
455,A:老闆 我們來這裡遊玩的	A:想問一下路 那個舞鶴怎麼走,B:你現在出去看到紅綠燈 往南走差不多十分鐘就到了	B:你在做什麼	B:這個是我的秘密	B:這個時候又要和大家說再見了	B:留下來的藏寶圖	B:這個一個五塊
456,A:後來再隔比較麻煩 就是說它跟原來的 負重的結構會不一樣 所以地震的時候,A:基本上不要超過二十五公分	A:太高的火災你不容易滅	A:它比較容易垮	A:像這麼小的滅火器	A:火災感應器	A:那個罩子還罩在上面
457,A:曉書 玫瑰花送給你 是不是很漂亮呢,B:很高興認識你 我是從白俄羅斯來的	B:他今年只有十四歲 可以掌握得很好	B:好漂亮喔	B:我要獻給奶奶一首歌 叫做 雨夜花	B:看到許多台灣女性 都有很強的韌性還有生命力	B:除了跳舞 彈琴之外 韋齊最愛的就是畫畫了
458,A:我今天找你來 是想請你幫忙的 事成之後 自有重賞,B:那個人是誰啊	B:他不是你的會計嗎	B:有什麼了不起嘛	B:有種過來啊	B:只要我能幫忙 必效犬馬之勞	B:你囉唆了半天
459,A:老師 你今天沒有跟蕙馨一起走	B:她有事要集合,B:真倒楣 差一點點就趕上了	B:也許你會有新的發現 新的感覺喔	B:那老師陪你走到車站囉	B:人生的經歷就是這樣子累積來的	B:你們不用假惺惺了	B:一定來不及準備
460,A:姵蓁 你的錶壞了啊	B:可是這好像不是你的錶,C:留住本國優質人才	C:沒啦 是佳宏的	C:絕對不能猶豫蹉跎	C:你有去過瑞士嗎	C:這個結果得來不易	C:我家買了一個新時鐘
461,A:但是我的兒子喜歡的 有一個人說不定跟你一樣 是誰住在深海的大鳳梨裡,B:還有薩克斯風手黑麥	B:聊聊對工作的想法	B:海綿寶寶	B:我想要突破自己	B:躺一下就睡著了	B:所以她們自己溝通就可以了
462,A:你今天怎麼沒去上課,B:人都過世那麼久了	B:大表姊要結婚了嘛	B:這張好像是政府寄來的	B:下午才有課啊	B:你是我帶大的耶 從小就看到不想看了	B:阿嬤放心啦 我會帶你一起去啊
463,A:學姐 學姐 那我什麼時候 可以開始賣房子啊,B:資訊是來自有點像是競爭對手的其他公司	B:盡量不要房貸之外再多借信貸	B:我是自己做蘋果內餡	B:沒有平家一族 其他人就沒法生存	B:不行啦 妳還太嫩 什麼事情都不會	B:馬可波羅描述一座橋 一塊一塊石頭地仔細訴說
464,A:那你現在差不多一個禮拜要花多久時間騎馬,B:對人其實很好是不是	B:我已經做了一個重大的決定	B:五天吧	B:我的記憶力一直不算很好	B:只要員工有什麼樣的意見 我們就會採納或是進用	B:那麼舊厝翻翻咧變新厝
465,A:我們還要走多遠,B:跑步可以鍛鍊身體	B:運動會先來預演一次	B:總共有十一位	B:只有五百塊	B:大概差不多再走三百公尺	B:差不多九斤以上
466,A:不會啦 這種碳酸它是鹼性的啦,B:奇怪你怎麼都知道	B:澳就是代表海岸彎曲的地方	B:這個酸鹼值我就有學過 如果說這個pH值大於七的 它就是鹼性的	B:如果把這兩樣加在一起 你覺得它會變成什麼樣子	B:蘇澳這個地區 終年的雨量非常的豐沛	B:你知道那彈珠汽水 最早的時候是用什麼水做的
467,A:他身上香水好香	B:你也有聞到啊 那是什麼牌子的香水啊,A:我先自我介紹	A:不知道	A:這是我的名字	A:其他部份以後大家會慢慢瞭解	A:我們今天就從三角函數開始	A:對不起啊各位
468,A:陳韋辰 你又不吃飯啦	B:我在減肥	A:光靠餓肚子是不能減肥的,B:誰說的 我已經瘦了兩公斤了	B:同學 不好意思 漲價了 請你再補三十	B:而能力的好壞 也關係到是否能在職場上站穩	B:好像要上戰場了	B:不知道味道怎麼樣	B:為了讓大家好好的看清楚員貝的面貌 船長特別帶我們繞行員貝一周
469,A:偉傑人真好 班上男生應該多跟他學學才對,B:你必須要先對自己誠實 你才有辦法完整的跟對方表達	B:這樣的行為 已經侵犯了他人的隱私權 是要負法律責任的	B:每個作家都應該要有一台筆電 才能隨時隨地的 記錄下自己的靈感	B:聽說有同學想要人肉搜索那個社群網站帳號的主人	B:居然用這種方式贏得比賽 實在勝之不武	B:對 偉傑做人有禮貌 服裝儀容整齊又乾淨
470,A:我比較想知道的是 不管是單親爸爸或是單親媽媽,A:有沒有什麼改變	A:對孩子的教育方式	A:我比較想知道的是	A:那她怎麼說還是你們的媽媽	A:會更嚴格的要求	A:有沒有什麼改變
471,A:他很會藏喔 隨便那個書櫃啊 那個抽屜啊 到處都是 都是酒瓶	B:今天有嗎	A:今天我們來查 找找看,B:沒有啦 今天已經克制得很好了啦	B:他覺得讓女人去扛 是很沒面子的事情	B:我有時候在車上很難過就大哭 或者大叫	B:這天是星期四 阿芬不上課	B:製作小組很擔心	B:我傳道已經三十四年了
472,A:你們覺得上陶藝課最快樂 是什麼事,B:可以自己創造	B:他們都會很興奮	B:我想要一個觀星台	B:那每天這樣子浪費時間	B:下次我要早點來	B:害我都好想轉學喔
473,A:小莉 知不知道妍如跑哪兒去了	B:不知道 今天還沒看到她,A:收你五百	A:總共是一百五十三元	A:她爸爸好像搬回去台灣 一年只回來看她一兩次	A:我覺得她蠻有這方面的天分的	A:我可以只算你七折	A:真是的 明明知道假日客人比較多 還不在家裡幫忙
